"config_mistura","tipo_mistura","alpha","repeticao","proporcao_pool","n_real","n_syn","n_total_treino","correlacao","RMSE","MAE","slope_calibracao","media_lambda","sd_lambda"
"beta_alpha_0.1","beta",0.1,25,0.75,827,276,1103,0.641681386393079,487.74608253994,376.387025340065,0.903758353750249,0.464738622890389,0.449056930236054
"beta_alpha_0.1","beta",0.1,26,0.75,827,276,1103,0.546315531085787,527.517987382892,424.86867861457,0.734073545874333,0.500248515314967,0.463410026033335
"beta_alpha_0.1","beta",0.1,27,0.75,827,276,1103,0.686134436606439,448.73128628601,346.616721499063,0.913872537572137,0.47539078490702,0.457115372710342
"beta_alpha_0.1","beta",0.1,28,0.75,827,276,1103,0.632127421781903,514.269835341712,401.997309901937,0.814140813138265,0.505161379227126,0.456475324321206
"beta_alpha_0.1","beta",0.1,29,0.75,827,276,1103,0.627477682739393,493.245181840622,382.386375249708,0.772869820817991,0.464011627401547,0.459534853646351
"beta_alpha_0.1","beta",0.1,30,0.75,827,276,1103,0.581983711846098,498.615006813658,398.979029613112,0.740949878330345,0.51147465885244,0.458072564696467
"beta_alpha_0.2","beta",0.2,1,0.25,275,828,1103,0.336686688394079,816.453569177107,626.178092181787,0.278893995677415,0.487811566636189,0.424810034859726
"beta_alpha_0.2","beta",0.2,2,0.25,275,828,1103,0.411655713572304,659.270244779844,523.847366537785,0.418795130699936,0.495920705207245,0.421637363822881
"beta_alpha_0.2","beta",0.2,3,0.25,275,828,1103,0.514208043983951,655.69363194382,521.822839802775,0.445998958515348,0.456930057775568,0.417407159770809
"beta_alpha_0.2","beta",0.2,4,0.25,275,828,1103,0.571193093890526,648.205631301213,514.075323585985,0.535331725364525,0.497855892447857,0.420332468069563
"beta_alpha_0.2","beta",0.2,5,0.25,275,828,1103,0.391491546230302,735.362199270448,602.393634645994,0.365255140230979,0.517845575548232,0.420458858397878
"beta_alpha_0.2","beta",0.2,6,0.25,275,828,1103,0.481333064386313,627.645139595775,476.769373873747,0.454285213045053,0.483445631188637,0.419351793724783
"beta_alpha_0.2","beta",0.2,7,0.25,275,828,1103,0.441200967887115,752.859542276958,603.528893050897,0.370950038773088,0.528357694484886,0.420473676128797
"beta_alpha_0.2","beta",0.2,8,0.25,275,828,1103,0.425731352855982,667.970986517759,543.53949779985,0.427348189983625,0.532687484371175,0.417592052360728
"beta_alpha_0.2","beta",0.2,9,0.25,275,828,1103,0.437459571174006,650.215716943175,517.046384150731,0.418539427316316,0.508533480940255,0.42423536569261
"beta_alpha_0.2","beta",0.2,10,0.25,275,828,1103,0.415118671780931,671.339416936219,545.935572101014,0.407905416430618,0.48973374251235,0.425327741454432
"beta_alpha_0.2","beta",0.2,11,0.25,275,828,1103,0.474585434579914,650.622447026158,525.648686406553,0.48557308378485,0.512995115042152,0.418368280624006
