"config_mistura","alpha","repeticao","proporcao_pool","n_real","n_syn","n_total_treino","correlacao","RMSE","MAE","slope_calibracao","media_lambda","sd_lambda","seed_da","seed_bglr"
"beta_alpha_population_informed",1.40104090407217,6,0.75,827,276,1103,0.619105010723834,475.581705247905,375.729738510596,0.786705907623219,0.48570875541244,0.25088521926415,327506,337506
"beta_alpha_population_informed",1.40104090407217,7,0.75,827,276,1103,0.625816615887108,508.260424654131,409.897712783501,0.842125383547175,0.493656705901999,0.267176287541771,327507,337507
"beta_alpha_population_informed",1.40104090407217,8,0.75,827,276,1103,0.658358187413877,470.955106233096,379.216357237879,0.942451865756522,0.482417369143664,0.244132553946949,327508,337508
"beta_alpha_population_informed",1.40104090407217,9,0.75,827,276,1103,0.614365896910811,483.542438592844,387.190878114785,0.782603845936943,0.501791083657466,0.259274992834004,327509,337509
"beta_alpha_population_informed",1.40104090407217,10,0.75,827,276,1103,0.61062031407943,490.738791878533,389.276595977692,0.860473219298114,0.48849684873309,0.256945816911216,327510,337510
"beta_alpha_population_informed",1.40104090407217,11,0.75,827,276,1103,0.674050611196032,476.148115068481,373.259974416976,0.895763067108709,0.474821302540756,0.253059414580499,327511,337511
"beta_alpha_population_informed",1.40104090407217,12,0.75,827,276,1103,0.615442003252133,487.169555132849,377.510496151699,0.835090548370288,0.48312517760852,0.275404351880606,327512,337512
"beta_alpha_population_informed",1.40104090407217,13,0.75,827,276,1103,0.68830715036019,452.524069918816,359.15262897177,0.90765979332054,0.512973973918692,0.266245624098875,327513,337513
"beta_alpha_population_informed",1.40104090407217,14,0.75,827,276,1103,0.639120007485388,484.34403398994,381.017421792872,0.773812451510961,0.484623114759409,0.247252075068158,327514,337514
"beta_alpha_population_informed",1.40104090407217,15,0.75,827,276,1103,0.594880044462998,492.299368984813,392.412868576024,0.811481841706533,0.511703358348966,0.253275371564999,327515,337515
"beta_alpha_population_informed",1.40104090407217,16,0.75,827,276,1103,0.686700803206624,456.485343409369,356.843040035952,0.96937136827855,0.485686349303746,0.254882471447712,327516,337516
"beta_alpha_population_informed",1.40104090407217,17,0.75,827,276,1103,0.639542585687666,496.210042546491,397.006698289337,0.842368710573332,0.473130787018638,0.252522346133621,327517,337517
"beta_alpha_population_informed",1.40104090407217,18,0.75,827,276,1103,0.61904654239747,481.201487935552,391.980689585015,0.759709802197776,0.493080154731118,0.263988663045845,327518,337518
"beta_alpha_population_informed",1.40104090407217,19,0.75,827,276,1103,0.62693674608067,485.24416159312,379.116284154019,0.850769061647951,0.503231213732414,0.268913481329177,327519,337519
"beta_alpha_population_informed",1.40104090407217,20,0.75,827,276,1103,0.62691845754486,510.622869875729,393.174894010842,0.782932591053315,0.506275325716069,0.278045661735373,327520,337520
"beta_alpha_population_informed",1.40104090407217,21,0.75,827,276,1103,0.654639737017381,473.474712356458,370.769640885203,0.910790643791956,0.491655684466783,0.261745178920719,327521,337521
"beta_alpha_population_informed",1.40104090407217,22,0.75,827,276,1103,0.659574615838076,458.211650119942,368.2965777857,0.836962945780903,0.511212269138333,0.253605995865183,327522,337522
"beta_alpha_population_informed",1.40104090407217,23,0.75,827,276,1103,0.505437690450979,587.484309088901,473.692379404722,0.544793841595746,0.508133082910663,0.257673044864906,327523,337523
"beta_alpha_population_informed",1.40104090407217,24,0.75,827,276,1103,0.600556741811792,487.813806635637,385.137712072575,0.843185525436949,0.508002503067603,0.248556845396331,327524,337524
"beta_alpha_population_informed",1.40104090407217,25,0.75,827,276,1103,0.640254772773453,488.208648983506,377.871843370195,0.905661199486656,0.492509771261346,0.264585391126794,327525,337525
"beta_alpha_population_informed",1.40104090407217,26,0.75,827,276,1103,0.551815310376569,524.849295276631,422.08852175828,0.738787831964339,0.487555998138323,0.262775647178062,327526,337526
"beta_alpha_population_informed",1.40104090407217,27,0.75,827,276,1103,0.699877885762574,439.467023917547,339.956297323378,0.959140552021993,0.515196704856271,0.251004934693452,327527,337527
"beta_alpha_population_informed",1.40104090407217,28,0.75,827,276,1103,0.634712165191653,508.892409150362,398.694751378864,0.855640924911559,0.468759198441673,0.260488330030844,327528,337528
"beta_alpha_population_informed",1.40104090407217,29,0.75,827,276,1103,0.651014880402397,477.0211417317,367.872712006182,0.811095841391999,0.486318459813984,0.251663669479902,327529,337529
