"repeticao","proporcao_pool","n_treino","n_validacao","correlacao","RMSE","MAE","slope_calibracao"
21,0.25,275,276,0.574343538992792,513.733366548747,411.945653301131,1.06649767878333
21,0.5,551,276,0.646574077293554,480.30034367934,377.534893401442,1.15318486429968
21,0.75,827,276,0.657244946981324,470.457783893772,366.990348752751,1.02362641452257
21,1,1103,276,0.667129281989259,464.920932483384,358.827078934564,1.00571897462115
22,0.25,275,276,0.583221727079951,486.906636184788,392.893172888307,1.00028752697182
22,0.5,551,276,0.638705401893379,462.167959200864,371.479304611266,0.976434178931447
22,0.75,827,276,0.667448074768015,447.161110754964,361.99291548429,0.984999709021793
22,1,1103,276,0.687616835021097,434.977256978167,346.951894671436,1.02081362616693
23,0.25,275,276,0.404085332287849,565.846912468156,451.270098525519,0.741511983710934
23,0.5,551,276,0.536887547419575,516.784351161024,415.390862363771,0.912694947852048
23,0.75,827,276,0.608177365550483,485.494076182194,391.956635832886,0.989910124538769
23,1,1103,276,0.620534877791816,479.462931819133,386.593790370027,0.974658553162164
24,0.25,275,276,0.558431715438732,501.07604977845,391.519560012561,0.955452174292372
24,0.5,551,276,0.571360135969288,500.978384753936,389.634549728652,0.933955718557991
24,0.75,827,276,0.608724096415263,479.800673854718,380.380286464724,0.949628562187264
24,1,1103,276,0.633945639584432,466.756667943247,367.736251880347,0.949295431123002
25,0.25,275,276,0.511223255186095,552.288088370572,424.073245267025,0.892976098689164
25,0.5,551,276,0.595635042763186,509.881400233404,392.715105174306,1.04257991148379
25,0.75,827,276,0.637327621669342,488.63528272883,378.335854122529,1.02967180329406
25,1,1103,276,0.660021063543221,476.272088796013,370.465738863842,1.05420495121953
26,0.25,275,276,0.428761826618561,557.172739245459,441.101323551744,0.810427212016578
26,0.5,551,276,0.509480190690109,530.169009196367,424.592887588256,0.838346732577411
26,0.75,827,276,0.564623574756251,509.497924028333,412.267252137565,0.858044905355623
26,1,1103,276,0.599488706698026,492.375998447957,393.188486686771,0.910062186690332
27,0.25,275,276,0.569323624542935,516.059454001475,407.664048668947,1.3250892039369
27,0.5,551,276,0.668863355533805,459.753102875887,363.2099912819,1.13282916747148
27,0.75,827,276,0.699308323817598,442.238839143214,343.944652834979,1.12643859642747
27,1,1103,276,0.697951511577102,440.692349274741,343.724017249698,1.05218100749669
28,0.25,275,276,0.593950523871616,526.046285308814,410.847945004448,1.10055135944327
28,0.5,551,276,0.648923884729133,499.670879774185,391.099589965689,1.10083885759134
28,0.75,827,276,0.682476834523728,479.155823276066,374.601257663771,1.09196356095539
28,1,1103,276,0.690014683879923,473.534749017347,367.079518225255,1.0573494759525
29,0.25,275,276,0.521732994749304,526.155703263567,416.724323364169,1.00078821666108
29,0.5,551,276,0.624875850980102,483.360114693401,375.701379383736,1.08568687592205
29,0.75,827,276,0.680730973628107,451.654478718728,349.939769632251,1.04600175403713
29,1,1103,276,0.710140111423667,434.469821040627,337.192452403404,1.06317893890391
30,0.25,275,276,0.522802140359009,506.42561611745,405.848410014026,0.940072270280227
30,0.5,551,276,0.583303391119254,481.904731402173,390.190092078745,0.975217236882415
30,0.75,827,276,0.600099499656438,476.724455950168,382.426096256,0.917074080473391
30,1,1103,276,0.631094497824707,462.234689226351,372.897720608711,0.952739857173641
